// Note : Å°(ID)¿Í ³»¿ëÀº ¹Ýµå½Ã ÅÇÀ¸·Î ±¸ºÐµÇ¾î¾ß ÇÕ´Ï´Ù.
//
IN_000_000	Swords [Dex]
IN_260_160	Junior Compound Sniper Rifle
ID_261_032	
IN_260_161	Junior Specialized Sniper Rifle
ID_261_033	
IN_260_162	
ID_261_034	
IN_260_163	Junior Advance Electron Gun
ID_261_035	
IN_260_164	Junior Tank Electron Gun
ID_261_036	
IN_260_165	Junior Compound Electron Gun
ID_261_037	
IN_260_166	Junior Specialized Electron Gu
ID_261_038	
IN_260_167	
ID_261_039	
IN_260_200	Global Care Package Ticket
ID_261_040	
IN_260_201	UFO Turtle [Newbie]
ID_261_041	
IN_260_202	Scroll of PET HP Recovery
ID_261_042	
IN_260_203	Newbie Welcoming Kit
ID_261_043	
IN_260_204	Lv 10 Gift Pack
ID_261_044	
IN_260_205	Lv 20 Gift Pack
ID_261_045	
IN_260_206	Lucky Coin
ID_261_046	
IN_260_207	Adoniechus Hat [7D]
ID_261_047	
IN_260_208	Lv 30 Gift Pack
ID_261_048	
IN_260_209	Option Randomizer [1D]
ID_261_049	
IN_260_210	Inventory Expansion Card(1D)
ID_261_050	
IN_260_211	Lv 40 Gift Pack
ID_261_051	
IN_261_000	Attendance Item
ID_261_052	
IN_261_001	Day1 Giftbox
ID_261_053	
IN_261_002	Day2 Giftbox
ID_261_054	
IN_261_003	Day3 Giftbox
ID_261_055	
IN_261_004	Day4 Giftbox
ID_261_056	
IN_261_005	Day5 Giftbox
ID_261_057	
IN_261_006	Day6 Giftbox
ID_261_058	
IN_261_007	Day7 Giftbox
ID_261_059	
IN_261_008	Card Randombox
ID_261_060	
IN_261_009	Friend Link Card [10P]
ID_261_061	
IN_261_010	Lunch Potion Randombox
ID_261_062	
IN_261_011	PET Skin Pack Randombox
ID_261_063	
IN_261_012	Pendent Randombox
ID_261_064	
IN_261_013	Carved Spiritual Rosary [3D]
ID_261_065	
IN_261_014	Spatial Rosary [3D]
ID_261_066	
IN_261_015	Azrael Rosary [3D]
ID_261_067	
IN_261_016	Soul Rosary [3D]
ID_261_068	
IN_261_017	Sunglasses Randombox
ID_261_069	
IN_261_018	Sunglasses No.1(Black) [3D]
ID_261_070	
IN_261_019	Sunglasses No.1(Red) [3D]
ID_261_071	
IN_261_020	Sunglasses No.1(Blue) [3D]
ID_261_072	
IN_261_021	Sunglasses No.2(Black) [3D]
ID_261_073	
IN_261_022	Sunglasses No.2(Red) [3D]
ID_261_074	
IN_261_023	Sunglasses No.2(Blue) [3D]
ID_261_075	
IN_261_024	Hair Randombox [M]
ID_261_076	
IN_261_025	Solemn Judge Wig [M][3D]
ID_261_077	
IN_261_026	Elegant Straight Hairstyle [M][3D]
ID_261_078	
IN_261_027	Mushroom Hairstyle [M][3D]
ID_261_079	
IN_261_028	Claret Red Wavy Short Hairstyle [M][3D]
ID_261_080	
IN_261_029	Long Wavy Hairstyle [M][3D]
ID_261_081	
IN_261_030	Cute Yawn Short Hairstyle [M][3D]
ID_261_082	
IN_261_031	Libertine Hairstyle [M][3D]
ID_261_083	
IN_261_032	Gold Short Hairstyle [M][3D]
ID_261_084	
IN_261_033	Hair Randombox [F]
ID_261_085	
IN_261_034	Elegant Lady Hairstyle [F][3D]
ID_261_086	
IN_261_035	Classic Bun Hairstyle [F][3D]
ID_261_087	
IN_261_036	Charming Frisette Hairstyle [F][3D]
ID_261_088	
IN_261_037	Golden Bob Hairstyle [F][3D]
ID_261_089	
IN_261_038	Audrey Hepburn Hairstyle [F][3D]
ID_261_090	
IN_261_039	Fashion Ladies Hairstyle [F][3D]
ID_261_091	
IN_261_040	Wavy Volume Hairstyle [F][3D]
ID_261_092	
IN_261_041	Sweet Bridal Hairstyle [F][3D]
ID_261_093	
IN_261_042	Lovely Sweetie Hairstyle [F][3D]
ID_261_094	
IN_261_043	Aluminum Bracelet Randombox [3D]
ID_261_095	
IN_261_044	Ring Randombox [M]
ID_261_096	
IN_261_045	Fire Diamond Ring [M][4D]
ID_261_097	
IN_261_046	Glare Silver Ring [M][4D]
ID_261_098	
IN_261_047	Obsidian Ring [M][4D]
ID_261_099	
IN_261_048	Double Star Chain Ring [M][4D]
ID_261_100	
IN_261_049	Sapphire Ring [M][4D]
ID_261_101	
IN_261_050	Flame Gem Ring [M][4D]
ID_261_102	
IN_261_051	Serpentine Ring [M][4D]
ID_261_103	
IN_261_052	Nails Randombox [F]
ID_261_104	
IN_261_053	Gorgeous Red Nails [F][4D]
ID_261_105	
IN_261_054	Light Blue Nails [F][4D]
ID_261_106	
IN_261_055	Shiny Silver Nails [F][4D]
ID_261_107	
IN_261_056	Coffee Golden Nails [F][4D]
ID_261_108	
IN_261_057	Light Purple Golden Nails [F][4D]
ID_261_109	
IN_261_058	Glare Blue Nails [F][4D]
ID_261_110	
IN_261_059	Light Yellow Red Nails [F][4D]
ID_261_111	
IN_261_060	Shining Black Nails [F][4D]
ID_261_112	
IN_261_061	Flame Red Nails [F][4D]
ID_261_113	
IN_261_062	Matcha Green Nails [F][4D]
ID_261_114	
IN_261_063	Smiling Doll Nails [F][4D]
ID_261_115	
IN_261_064	Gorgeous Noble Nails [F][4D]
ID_261_116	
IN_261_065	Costume Randombox
ID_261_117	
IN_261_066	Appealing Style A [M][5D]
ID_261_118	
IN_261_067	Appealing Style A Top [M][5D]
ID_261_119	
IN_261_068	Appealing Style A Bottom [M][5D]
ID_261_120	
IN_261_069	Appealing Style A Shoes [M][5D]
ID_261_121	
IN_261_070	Appealing Style B [M][5D]
ID_261_122	
IN_261_071	Appealing Style B Top [M][5D]
ID_261_123	
IN_261_072	Appealing Style B Bottom [M][5D]
ID_261_124	
IN_261_073	Appealing Style B Shoes [M][5D]
ID_261_125	
IN_261_074	Appealing Style C [M][5D]
ID_261_126	
IN_261_075	Appealing Style C Top [M][5D]
ID_261_127	
IN_261_076	Appealing Style C Bottom [M][5D]
ID_261_128	
IN_261_077	Appealing Style C Shoes [M][5D]
ID_261_129	
IN_261_078	Appealing Style A [F][5D]
ID_261_130	
IN_261_079	Appealing Style A Top [F][5D]
ID_261_131	
IN_261_080	Appealing Style A Bottom [F][5D]
ID_261_132	
IN_261_081	Appealing Style A Shoes [F][5D]
ID_261_133	
IN_261_082	Appealing Style B [F][5D]
ID_261_134	
IN_261_083	Appealing Style B Top [F][5D]
ID_261_135	
IN_261_084	Appealing Style B Bottom [F][5D]
ID_261_136	
IN_261_085	Appealing Style B Shoes [F][5D]
ID_261_138	
IN_261_086	Appealing Style C [F][5D]
ID_261_141	
IN_261_087	Appealing Style C Top [F][5D]
ID_301_000	
IN_261_088	Appealing Style C Bottom [F][5D]
ID_301_001	
IN_261_089	Appealing Style C Shoes [F][5D]
ID_301_002	
IN_261_090	Party Suit A [M][5D]
ID_301_003	
IN_261_091	Party Suit A Top [M][5D]
ID_301_004	
IN_261_092	Party Suit A Bottom [M][5D]
ID_301_005	
IN_261_093	Party Suit A Shoes [M][5D]
ID_301_006	
IN_261_094	Party Suit B [M][5D]
ID_301_007	
IN_261_095	Party Suit B Top [M][5D]
ID_301_008	
IN_261_096	Party Suit B Bottom [M][5D]
ID_301_009	
IN_261_097	Party Suit B Shoes [M][5D]
ID_301_010	
IN_261_098	Party Suit C [M][5D]
ID_301_011	
IN_261_099	Party Suit C Top [M][5D]
ID_301_012	
IN_261_100	Party Suit C Bottom [M][5D]
ID_301_013	
IN_261_101	Party Suit C Shoes [M][5D]
ID_301_014	
IN_261_102	Party Dress A [F][5D]
ID_301_015	
IN_261_103	Party Dress A Top [F][5D]
ID_301_016	
IN_261_104	Party Dress A Bottom [F][5D]
ID_301_017	
IN_261_105	Party Dress A Shoes [F][5D]
ID_301_018	
IN_261_106	Party Dress B [F][5D]
ID_301_019	
IN_261_107	Party Dress B Top [F][5D]
ID_301_020	
IN_261_108	Party Dress B Bottom [F][5D]
ID_301_021	
IN_261_109	Party Dress B Shoes [F][5D]
ID_301_022	
IN_261_110	Party Dress C [F][5D]
ID_301_023	
IN_261_111	Party Dress C Top [F][5D]
ID_301_024	A gift box containing Special Gloves of Heaven (+4)(7D). Open it with right click.
IN_261_112	Party Dress C Bottom [F][5D]
ID_301_025	A gift box containing Special Gloves of Heaven (+7)(7D). Open it with right click.
IN_261_113	Party Dress C Shoes [F][5D]
ID_301_026	A gift box containing Special Gloves of Heaven (+9)(7D). Open it with right click.
IN_261_114	Classical Vest Set [5D]
ID_301_027	A gift box containing Special Gloves of Heaven. Not Enhanced. Open it with right click.
IN_261_115	Classical Vest Top [5D]
ID_301_100	
IN_261_116	Classical Vest Bottom [5D]
ID_301_101	
IN_261_117	Classical Vest Shoes [5D]
ID_301_102	
IN_261_118	Modern Vest Set [5D]
ID_301_103	
IN_261_119	Modern Vest Top [5D]
ID_301_104	
IN_261_120	Modern Vest Bottom [5D]
ID_301_105	
IN_261_121	Modern Vest Shoes [5D]
ID_301_106	
IN_261_122	Bolero Set [5D]
ID_301_107	
IN_261_123	Bolero Top [5D]
ID_301_108	
IN_261_124	Bolero Bottom [5D]
ID_301_109	
IN_261_125	Bolero Shoes [5D]
ID_301_110	
IN_261_126	Frill Set [5D]
ID_301_111	
IN_261_127	Frill Top [5D]
ID_301_112	
IN_261_128	Frill Bottom [5D]
ID_301_113	
IN_261_129	Frill Shoes [5D]
ID_301_114	
IN_261_130	Recovery Potion Randombox
ID_301_115	
IN_261_131	Ring of Dark Light [3D]
ID_301_116	
IN_261_132	Precious Resurrection Rosary [3D]
ID_301_117	
IN_261_133	Red Beret [1Y]
ID_301_118	
IN_261_134	Tera Bracelet [1H]
ID_301_119	
IN_261_135	Tera Bracelet [3H]
ID_301_120	
IN_261_136	Tera Bracelet [5H]
ID_301_121	A gift box containing Special Valiant Gloves (+9)(7D). Open it with right click.
IN_261_138	
ID_301_122	A gift box containing Special Valiant Gloves (+10)(7D). Open it with right click.
IN_261_141	
ID_301_123	A gift box containing Special Valiant Gloves. Not Enhanced. Open it with right click.
IN_301_000	Extra Activity Reward
ID_301_124	A gift box containing Special Emperor's Loafer (+9)(7D). Open it with right click.
IN_301_001	Easy Activity Reward
ID_301_125	A gift box containing Special Emperor's Loafer (+10)(7D). Open it with right click.
IN_301_002	Special Gloves of Heaven (7D)
ID_301_126	A gift box containing Special Emperor's Loafer. Not Enhanced. Open it with right click.
IN_301_003	Special Gloves of Heaven (7D)
ID_301_200	
IN_301_004	Special Strong Ring of Nickel (7D)
ID_301_201	
IN_301_005	Special Remedy Ring of Nickel (7D)
ID_301_202	
IN_301_006	Special Spatial Ring of Nickel (7D)
ID_301_203	
IN_301_007	Special Strong Ring of Nickel
ID_301_204	
IN_301_008	Special Remedy Ring of Nickel
ID_301_205	
IN_301_009	Special Spatial Ring of Nickel
ID_301_206	
IN_301_010	Special Smiter Chain of Silver (7D)
ID_301_207	
IN_301_011	Special Precision Chain of Silver (7D)
ID_301_208	
IN_301_012	Special Evasion Chain of Silver (7D)
ID_301_209	
IN_301_013	Special Smiter Chain of Silver
ID_301_210	
IN_301_014	Special Precision Chain of Silver
ID_301_211	
IN_301_015	Special Evasion Chain of Silver
ID_301_212	
IN_301_016	Special HP Bracelet of Gold (7D)
ID_301_213	
IN_301_017	Special MP Bracelet of Gold (7D)
ID_301_214	
IN_301_018	Special SP Bracelet of Gold (7D)
ID_301_215	
IN_301_019	Special HP Bracelet of Gold
ID_301_216	
IN_301_020	Special MP Bracelet of Gold
ID_301_217	
IN_301_021	Special SP Bracelet of Gold
ID_301_218	
IN_301_022	Special Gloves of Heaven (7D)
ID_301_219	
IN_301_023	Special Gloves of Heaven
ID_301_220	
IN_301_024	Special Gloves of Heaven (+4)(7D) Box
ID_301_221	
IN_301_025	Special Gloves of Heaven (+7)(7D) Box
ID_301_222	
IN_301_026	Special Gloves of Heaven (+9)(7D) Box
ID_301_223	
IN_301_027	Special Gloves of Heaven Box
ID_301_224	
IN_301_100	Normal Activity Reward
ID_301_225	
IN_301_101	Special Strong Ring of Brass (7D)
ID_301_226	
IN_301_102	Special Remedy Ring of Brass (7D)
ID_301_227	
IN_301_103	Special Spatial Ring of Brass (7D)
ID_301_228	
IN_301_104	Special Strong Ring of Brass
ID_301_229	
IN_301_105	Special Remedy Ring of Brass
ID_301_230	
IN_301_106	Special Spatial Ring of Brass
ID_301_231	
IN_301_107	Special Red Smiter Chain (7D)
ID_301_232	
IN_301_108	Special Red Precision Chain (7D)
ID_301_233	
IN_301_109	Special Red Evasion Chain (7D)
ID_301_234	
IN_301_110	Special Red Smiter Chain
ID_301_235	
IN_301_111	Special Red Precision Chain
ID_301_236	
IN_301_112	Special Red Evasion Chain
ID_301_237	
IN_301_113	Special Blue Crystal Goggles (7D)
ID_301_238	
IN_301_114	Special Blue Crystal Goggles
ID_301_239	
IN_301_115	Special Valiant Gloves (7D)
ID_301_240	
IN_301_116	Special Valiant Gloves (7D)
ID_301_241	
IN_301_117	Special Valiant Gloves
ID_301_242	
IN_301_118	Special Emperor's Loafer (7D)
ID_301_243	
IN_301_119	Special Emperor's Loafer(7D)
ID_301_244	
IN_301_120	Special Emperor's Loafer
ID_301_245	
IN_301_121	Special Valiant Gloves (+9)(7D) Box
ID_301_246	
IN_301_122	Special Valiant Gloves (+10)(7D) Box
ID_301_247	
IN_301_123	Special Valiant Gloves Box
ID_301_248	
IN_301_124	Special Emperor's Loafer (+9)(7D) Box
ID_301_249	
IN_301_125	Special Emperor's Loafer (+10)(7D) Box
ID_301_250	
IN_301_126	Special Emperor's Loafer Box
ID_301_251	
IN_301_200	Special Activity Reward
ID_301_252	
IN_301_201	Special Bloody Mask (7D)
ID_301_253	
IN_301_202	Special Twilight Mask (7D)
ID_301_254	
IN_301_203	Special Angel Mask (7D)
ID_301_255	
IN_301_204	Special Heavenly Mask (7D)
ID_301_256	
IN_301_205	Special Bloody Mask
ID_301_257	
IN_301_206	Special Twilight Mask
ID_301_258	
IN_301_207	Special Angel Mask
ID_301_259	
IN_301_208	Special Heavenly Mask
ID_301_260	
IN_301_209	Flawed Special Solitary Ring (7D)
ID_301_261	
IN_301_210	Special Solitary Ring (7D)
ID_301_262	
IN_301_211	Flawless Special Solitary Ring (7D)
ID_301_263	
IN_301_212	Perfect Special Solitary Ring (7D)
ID_301_264	
IN_301_213	Flawed Special Eden Ring (7D)
ID_301_265	
IN_301_214	Special Eden Ring (7D)
ID_301_266	
IN_301_215	Flawless Special Eden Ring (7D)
ID_301_267	
IN_301_216	Perfect Special Eden Ring (7D)
ID_301_268	
IN_301_217	Flawed Special Noble Ring (7D)
ID_301_269	
IN_301_218	Special Noble Ring (7D)
ID_301_270	
IN_301_219	Flawless Special Noble Ring (7D)
ID_301_271	
IN_301_220	Perfect Special Noble Ring (7D)
ID_301_272	
IN_301_221	Flawed Special Solitary Ring
ID_301_273	
IN_301_222	Special Solitary Ring
ID_301_274	
IN_301_223	Flawless Special Solitary Ring
ID_301_275	
IN_301_224	Perfect Special Solitary Ring
ID_301_276	
IN_301_225	Flawed Special Eden Ring
ID_301_277	
IN_301_226	Special Eden Ring
ID_301_278	
IN_301_227	Flawless Special Eden Ring
ID_301_279	
IN_301_228	Perfect Special Eden Ring
ID_301_280	
IN_301_229	Flawed Special Noble Ring
ID_301_281	
IN_301_230	Special Noble Ring
ID_301_282	
IN_301_231	Flawless Special Noble Ring
ID_301_283	
IN_301_232	Perfect Special Noble Ring
ID_301_284	
IN_301_233	Special Scamper Shoes (7D)
ID_301_285	
IN_301_234	Special Scamper Shoes
ID_301_286	
IN_301_235	Ranny Stone
ID_301_287	
IN_301_236	Special Vambrace of Assailant (Soul) (7D)
ID_301_288	
IN_301_237	Special Vambrace of Assailant (Soul) (7D)
ID_301_289	
IN_301_238	Special Vambrace of Assailant (Soul)
ID_301_290	
IN_301_239	Special Heavy Vambrace of Assailant (Soul) (7D)
ID_301_291	
IN_301_240	Special Heavy Vambrace of Assailant (Soul) (7D)
ID_301_292	
IN_301_241	Special Heavy Vambrace of Assailant (Soul)
ID_301_293	
IN_301_242	Special Vital Vambrace of Assailant (Soul) (7D)
ID_301_294	
IN_301_243	Special Vital Vambrace of Assailant (Soul) (7D)
ID_301_295	
IN_301_244	Special Vital Vambrace of Assailant (Soul)
ID_301_296	A gift box containing Special Vambrace of Assailant (Soul)(+9)(7D). Open it with right click.
IN_301_245	Special Vital Vambrace of Assailant (Soul) (7D)
ID_301_297	A gift box containing Special Vambrace of Assailant (Soul)(+10)(7D). Open it with right click.
IN_301_246	Special Vital Vambrace of Assailant (Soul) (7D)
ID_301_298	A gift box containing Special Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_247	Special Vital Vambrace of Assailant (Soul)
ID_301_299	A gift box containing Special Heavy Vambrace of Assailant (Soul)(+9)(7D). Open it with right click.
IN_301_248	Special Azure Sword (Soul) (7D)
ID_301_300	A gift box containing Special Heavy Vambrace of Assailant (Soul)(+10)(7D). Open it with right click.
IN_301_249	Special Azure Sword (Soul) (7D)
ID_301_301	A gift box containing Special Heavy Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_250	Special Azure Sword (Soul)
ID_301_302	A gift box containing Special Vital Vambrace of Assailant (Soul)(+9)(7D). Open it with right click.
IN_301_251	Special Azure Sword (Soul) (7D)
ID_301_303	A gift box containing Special Vital Vambrace of Assailant (Soul)(+10)(7D). Open it with right click.
IN_301_252	Special Azure Sword (Soul) (7D)
ID_301_304	A gift box containing Special Vital Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_253	Special Azure Sword (Soul)
ID_301_305	A gift box containing Special Vital Vambrace of Assailant (Soul)(+9)(7D). Open it with right click.
IN_301_254	Special Vital Azure Sword (Soul) (7D)
ID_301_306	A gift box containing Special Vital Vambrace of Assailant (Soul)(+10)(7D). Open it with right click.
IN_301_255	Special Vital Azure Sword (Soul) (7D)
ID_301_307	A gift box containing Special Vital Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_256	Special Vital Azure Sword (Soul)
ID_301_308	A gift box containing Special Azure Sword (Soul)(+9)(7D). Open it with right click.
IN_301_257	Special Vital Azure Sword (Soul) (7D)
ID_301_309	A gift box containing Special Azure Sword (Soul)(+10)(7D). Open it with right click.
IN_301_258	Special Vital Azure Sword (Soul) (7D)
ID_301_310	A gift box containing Special Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_259	Special Vital Azure Sword (Soul)
ID_301_311	A gift box containing Special Azure Sword (Soul)(+9)(7D). Open it with right click.
IN_301_260	Special Seven Blade (Soul) (7D)
ID_301_312	A gift box containing Special Azure Sword (Soul)(+10)(7D). Open it with right click.
IN_301_261	Special Seven Blade (Soul) (7D)
ID_301_313	A gift box containing Special Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_262	Special Seven Blade (Soul)
ID_301_314	A gift box containing Special Vital Azure Sword (Soul)(+9)(7D). Open it with right click.
IN_301_263	Special General Meck's Bow (Soul) (7D)
ID_301_315	A gift box containing Special Vital Azure Sword (Soul)(+10)(7D). Open it with right click.
IN_301_264	Special General Meck's Bow (Soul) (7D)
ID_301_316	A gift box containing Special Vital Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_265	Special General Meck's Bow (Soul)
ID_301_317	A gift box containing Special Vital Azure Sword (Soul)(+9)(7D). Open it with right click.
IN_301_266	Special Cannon Bow (Soul) (7D)
ID_301_318	A gift box containing Special Vital Azure Sword (Soul)(+10)(7D). Open it with right click.
IN_301_267	Special Cannon Bow (Soul) (7D)
ID_301_319	A gift box containing Special Vital Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_268	Special Cannon Bow (Soul)
ID_301_320	A gift box containing Special Seven Blade (Soul)(+9)(7D). Open it with right click.
IN_301_269	Special Cannon Bow (Soul) (7D)
ID_301_321	A gift box containing Special Seven Blade (Soul)(+10)(7D). Open it with right click.
IN_301_270	Special Cannon Bow (Soul) (7D)
ID_301_322	A gift box containing Special Seven Blade (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_271	Special Cannon Bow (Soul)
ID_301_323	A gift box containing Special General Meck's Bow (Soul)(+9)(7D). Open it with right click.
IN_301_272	Special Vital Cannon Bow (Soul) (7D)
ID_301_324	A gift box containing Special General Meck's Bow (Soul)(+10)(7D). Open it with right click.
IN_301_273	Special Vital Cannon Bow (Soul) (7D)
ID_301_325	A gift box containing Special General Meck's Bow (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_274	Special Vital Cannon Bow (Soul)
ID_301_326	A gift box containing Special Cannon Bow (Soul)(+9)(7D). Open it with right click.
IN_301_275	Special Vital Cannon Bow (Soul) (7D)
ID_301_327	A gift box containing Special Cannon Bow (Soul)(+10)(7D). Open it with right click.
IN_301_276	Special Vital Cannon Bow (Soul) (7D)
ID_301_328	A gift box containing Special Cannon Bow (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_277	Special Vital Cannon Bow (Soul)
ID_301_329	A gift box containing Special Cannon Bow (Soul)(+9)(7D). Open it with right click.
IN_301_278	Special Hermit's Aero Spear (Soul) (7D)
ID_301_330	A gift box containing Special Cannon Bow (Soul)(+10)(7D). Open it with right click.
IN_301_279	Special Hermit's Aero Spear (Soul) (7D)
ID_301_331	A gift box containing Special Cannon Bow (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_280	Special Hermit's Aero Spear (Soul)
ID_301_332	A gift box containing Special Vital Cannon Bow (Soul)(+9)(7D). Open it with right click.
IN_301_281	Special Hermit's Aero Spear (Soul) (7D)
ID_301_333	A gift box containing Special Vital Cannon Bow (Soul)(+10)(7D). Open it with right click.
IN_301_282	Special Hermit's Aero Spear (Soul) (7D)
ID_301_334	A gift box containing Special Vital Cannon Bow (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_283	Special Hermit's Aero Spear (Soul)
ID_301_335	A gift box containing Special Vital Cannon Bow (Soul)(+9)(7D). Open it with right click.
IN_301_284	Special Staff of Soul Ravager (Soul) (7D)
ID_301_336	A gift box containingSpecial Vital Cannon Bow (Soul)(+10)(7D). Open it with right click.
IN_301_285	Special Staff of Soul Ravager (Soul) (7D)
ID_301_337	A gift box containing Special Vital Cannon Bow (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_286	Special Staff of Soul Ravager (Soul)
ID_301_338	A gift box containing Special Hermit's Aero Spear (Soul)(+9)(7D). Open it with right click.
IN_301_287	Special Blast Gun (Soul) (7D)
ID_301_339	A gift box containing Special Hermit's Aero Spear (Soul)(+10)(7D). Open it with right click.
IN_301_288	Special Blast Gun (Soul) (7D)
ID_301_340	A gift box containing Special Hermit's Aero Spear (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_289	Special Blast Gun (Soul)
ID_301_341	A gift box containing Special Hermit's Aero Spear (Soul)(+9)(7D). Open it with right click.
IN_301_290	Special Magnetic Railgun (Soul) (7D)
ID_301_342	A gift box containing Special Hermit's Aero Spear (Soul)(+10)(7D). Open it with right click.
IN_301_291	Special Magnetic Railgun (Soul) (7D)
ID_301_343	A gift box containing Special Hermit's Aero Spear (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_292	Special Magnetic Railgun (Soul)
ID_301_344	A gift box containing Special Staff of Soul Ravager (Soul)(+9)(7D). Open it with right click.
IN_301_293	Special Magnetic Portal Gun (Soul) (7D)
ID_301_345	A gift box containing Special Staff of Soul Ravager (Soul)(+10)(7D). Open it with right click.
IN_301_294	Special Magnetic Portal Gun (Soul) (7D)
ID_301_346	A gift box containing Special Staff of Soul Ravager (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_295	Special Magnetic Portal Gun (Soul)
ID_301_347	A gift box containing Special Blast Gun (Soul)(+9)(7D). Open it with right click.
IN_301_296	Special Vambrace of Assailant (Soul)(+9)(7D) Box
ID_301_348	A gift box containing Special Blast Gun (Soul)(+10)(7D). Open it with right click.
IN_301_297	Special Vambrace of Assailant (Soul)(+10)(7D) Box
ID_301_349	A gift box containing Special Blast Gun (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_298	Special Vambrace of Assailant (Soul)(Permanent) Box
ID_301_350	A gift box containing Special Magnetic Railgun (Soul)(+9)(7D). Open it with right click.
IN_301_299	Special Heavy Vambrace of Assailant (Soul)(+9)(7D) Box
ID_301_351	A gift box containing Special Magnetic Railgun (Soul)(+10)(7D). Open it with right click.
IN_301_300	Special Heavy Vambrace of Assailant (Soul)(+10)(7D) Box
ID_301_352	A gift box containing Special Magnetic Railgun (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_301	Special Heavy Vambrace of Assailant (Soul)(Permanent) Box
ID_301_353	A gift box containing Special Magnetic Portal Gun (Soul)(+9)(7D). Open it with right click.
IN_301_302	Special Vital Vambrace of Assailant (Soul)(+9)(7D) Box
ID_301_354	A gift box containing Special Magnetic Portal Gun (Soul)(+10)(7D). Open it with right click.
IN_301_303	Special Vital Vambrace of Assailant (Soul)(+10)(7D) Box
ID_301_355	A gift box containing Special Magnetic Portal Gun (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_304	Special Vital Vambrace of Assailant (Soul)(Permanent) Box
ID_301_356	
IN_301_305	Special Vital Vambrace of Assailant (Soul)(+9)(7D) Box
ID_301_357	
IN_301_306	Special Vital Vambrace of Assailant (Soul)(+10)(7D) Box
ID_301_358	
IN_301_307	Special Vital Vambrace of Assailant (Soul)(Permanent) Box
ID_301_359	
IN_301_308	Special Azure Sword (Soul)(+9)(7D) Box
ID_301_360	
IN_301_309	Special Azure Sword (Soul)(+10)(7D) Box
ID_301_361	
IN_301_310	Special Azure Sword (Soul)(Permanent) Box
ID_301_362	
IN_301_311	Special Azure Sword (Soul)(+9)(7D) Box
ID_301_363	
IN_301_312	Special Azure Sword (Soul)(+10)(7D) Box
ID_301_364	
IN_301_313	Special Azure Sword (Soul)(Permanent) Box
ID_301_365	
IN_301_314	Special Vital Azure Sword (Soul)(+9)(7D) Box
ID_301_366	
IN_301_315	Special Vital Azure Sword (Soul)(+10)(7D) Box
ID_301_367	
IN_301_316	Special Vital Azure Sword (Soul)(Permanent) Box
ID_301_368	
IN_301_317	Special Vital Azure Sword (Soul)(+9)(7D) Box
ID_301_369	
IN_301_318	Special Vital Azure Sword (Soul)(+10)(7D) Box
ID_301_370	
IN_301_319	Special Vital Azure Sword (Soul)(Permanent) Box
ID_301_371	
IN_301_320	Special Seven Blade (Soul)(+9)(7D) Box
ID_301_372	
IN_301_321	Special Seven Blade (Soul)(+10)(7D) Box
ID_301_373	
IN_301_322	Special Seven Blade (Soul)(Permanent) Box
ID_301_374	A gift box containing Special Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_323	Special General Meck's Bow (Soul)(+9)(7D) Box
ID_301_375	A gift box containing Special Heavy Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_324	Special General Meck's Bow (Soul)(+10)(7D) Box
ID_301_376	A gift box containing Special Vital Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_325	Special General Meck's Bow (Soul)(Permanent) Box
ID_301_377	A gift box containing Special Vital Vambrace of Assailant (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_326	Special Cannon Bow (Soul)(+9)(7D) Box
ID_301_378	A gift box containing Special Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_327	Special Cannon Bow (Soul)(+10)(7D) Box
ID_301_379	A gift box containing Special Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
IN_301_328	Special Cannon Bow (Soul)(Permanent) Box
ID_301_380	A gift box containing Special Vital Azure Sword (Soul)(Permanent). Not Enhanced. Open it with right click.
